Timestamp,S,I,R,D
2020-04-30,8.233312676979452e6,15670.334988210201,133364.1512019254,16401.836830411834
2020-05-01,8.231405084525933e6,15040.762705745152,135762.49857729755,16540.654191024394
2020-05-02,8.229574582608314e6,14436.079061005115,138064.4464245115,16673.891906169152
2020-05-03,8.227818096965524e6,13855.33536057027,140273.79758782516,16801.770086080393
2020-05-04,8.226132663453393e6,13297.613874187828,142394.2215504223,16924.50112199703
2020-05-05,8.224515428044653e6,12762.027834772034,144429.25443441246,17042.28968616257
2020-05-06,8.222963646828939e6,12247.721438404213,146382.2990008309,17155.332731825147
2020-05-07,8.221474686012791e6,11753.869844332707,148256.62464963875,17263.819493237497
2020-05-08,8.220046020136384e6,11279.678767377745,150055.36949071102,17367.93160552664
2020-05-09,8.218675214769551e6,10824.381719180035,151781.55930887113,17467.84420239809
2020-05-10,8.2173599626627965e6,10387.249579420519,153438.0643432741,17563.723414508288
2020-05-11,8.216098045854995e6,9967.579405856563,155027.6456842167,17655.729054931577
2020-05-12,8.214887323487556e6,9564.69129696283,156552.96975793492,17744.015457546422
2020-05-13,8.213725731804429e6,9177.928391931282,158016.60832660404,17828.731477035413
2020-05-14,8.2126112841521045e6,8806.656870671171,159421.0384883387,17910.02048888526
2020-05-15,8.211542070979611e6,8450.265953809047,160768.64267719272,17988.0203893868
2020-05-16,8.210516259838517e6,8108.167902688748,162061.7086631593,18062.86359563498
2020-05-17,8.209532095382928e6,7779.7980193713975,163302.42955217094,18134.677045528882
2020-05-18,8.208587872727014e6,7464.607147790037,164492.93605943036,18203.58406576576
2020-05-19,8.207681979305111e6,7162.075166793745,165635.24418482336,18269.70134327179
2020-05-20,8.206812896409326e6,6871.71073177947,166731.25400368296,18333.138855211
2020-05-21,8.205979154431601e6,6593.037818403401,167782.804695902,18394.003054093577
2020-05-22,8.205179332853421e6,6325.595719558269,168791.6745585169,18452.39686850423
2020-05-23,8.204412060245817e6,6068.939045373346,169759.58100570756,18508.419703102176
2020-05-24,8.203676014269367e6,5822.63772321446,170688.1805687974,18562.16743862114
2020-05-25,8.202969921674193e6,5586.276997683956,171579.0688962535,18613.73243186938
2020-05-26,8.202292558299963e6,5359.457430620744,172433.78075368635,18663.20351572965
2020-05-27,8.2016427490758905e6,5141.794901100288,173253.79002384996,18710.665999159217
2020-05-28,8.201019368020734e6,4932.920605434558,174040.50970664204,18756.201667189875
2020-05-29,8.200421337795655e6,4732.480925381527,174795.29246636023,18799.888812603363
2020-05-30,8.199847611804137e6,4540.132576850036,175519.45213827217,18841.803480740742
