Timestamp,S,I,R,D
2020-01-31,6.0317546e7,2.0,0.0,0.0
2020-02-01,6.03175459981911e7,1.6401107446324235,0.3616981513963045,0.0
2020-02-02,6.03175459981911e7,1.381657995150122,0.6201508952012212,5.6773846757876306e-9
2020-02-03,6.03175459981911e7,1.1936162923880986,0.808164410145563,2.8193495066419255e-5
2020-02-04,6.03175459981911e7,1.0460026434067828,0.9555635193127107,0.0002427333092344038
2020-02-05,6.03175459981911e7,0.9415556638321082,1.0597514902198075,0.000501741976812198
2020-02-06,6.031754598149438e7,0.8927006367564823,1.1250618260358565,0.0007431569896067907
2020-02-07,6.031754500039557e7,1.6902564419973234,1.3084226143660371,0.0009253744946815677
2020-02-08,6.031754500039557e7,1.3940713758953092,1.6046076804680514,0.0009253744946815677
2020-02-09,6.031754500039557e7,1.193948097004094,1.8047309593592664,0.0009253744946815677
2020-02-10,6.031754500039557e7,1.0004146386735706,1.99826441768979,0.0009253744946815677
2020-02-11,6.031754500039557e7,0.6118716697812225,2.386807386582138,0.0009253744946815677
2020-02-12,6.031754500039557e7,0.3635072353860979,2.6351718209772628,0.0009253744946815677
2020-02-13,6.031754500039557e7,0.2227177587080922,2.7759612976552686,0.0009253744946815677
2020-02-14,6.031754500039557e7,0.14214170663214137,2.8565373497312194,0.0009253744946815677
2020-02-15,6.031754500039557e7,0.10038129317674477,2.898297763186616,0.0009253744946815677
2020-02-16,6.0317545000394896e7,0.07814295796863867,2.919912434752333,0.0015497138617982906
2020-02-17,6.031754499518886e7,0.07564269354627223,2.9272994513849206,0.001868997003269086
2020-02-18,6.031754492363915e7,0.1421766344650173,2.9295521497109536,0.004632069022873591
2020-02-19,6.0317544655536085e7,0.40576996843269225,2.930677778699765,0.008016168187585954
2020-02-20,6.031754335943923e7,1.700478094131884,2.9313720276679596,0.008710648766219688
2020-02-21,6.031752766464996e7,16.176323539817208,3.4239475283697347,0.7350789723661667
2020-02-22,6.0317484673368745e7,50.09926009365087,11.26635934606103,1.9610118207810632
2020-02-23,6.031739138352723e7,130.94266114790685,22.647769934200646,3.0260416997148507
2020-02-24,6.031731741064326e7,193.91191099307298,29.612059751290264,7.065386009101565
2020-02-25,6.031722380519226e7,281.76366479191296,32.39795724450449,10.033185710241835
2020-02-26,6.031709084370932e7,403.170576380974,42.09609870971842,11.889615601641008
2020-02-27,6.0316889900229715e7,575.9964561236832,64.74835342037193,17.35496075064041
2020-02-28,6.031665565891369e7,764.0473141834133,107.31214360861077,20.98162853176561
2020-02-29,6.0316409924100615e7,958.9967537416971,149.7667923118618,29.312353341112853
2020-03-01,6.031584580448163e7,1417.13951331945,250.66346260308933,34.3925424514902
2020-03-02,6.031550529106303e7,1582.2253977532353,407.95061408166964,52.53292514077697
2020-03-03,6.031503519429464e7,1861.9774452614768,571.4666582532377,79.36160185863963
2020-03-04,6.0314443835779995e7,2240.5068323395967,755.7383082433603,107.91907943745883
2020-03-05,6.031367695959743e7,2740.60328892427,981.9736574981607,148.4634561582168
2020-03-06,6.031289002449644e7,3231.5076090250463,1228.4744645113599,197.99343003223495
2020-03-07,6.031162652002533e7,4170.817562531052,1515.6935787194138,234.96883343287553
2020-03-08,6.031014223302659e7,5135.729311415932,1901.4742992459824,368.5633627626403
2020-03-09,6.030833211764374e7,6311.189778936147,2438.3366349986695,466.355942342455
2020-03-10,6.03073508633554e7,6578.679499219666,2982.932693823981,635.5244515744456
2020-03-11,6.0305088093175486e7,8047.186727573412,3586.3879571524594,826.3321398043909
2020-03-12,6.0305016142346665e7,7640.928014132734,4057.7681230244316,833.1615161933754
2020-03-13,6.029978388846764e7,11631.311696721135,4858.966615553786,1273.8332200984757
2020-03-14,6.0296319401189715e7,13088.769620545141,6694.112736215986,1445.7164535385937
2020-03-15,6.029273601589639e7,14255.21822342096,8741.720859721494,1815.0450204832139
2020-03-16,6.0289499244885795e7,14990.21865412763,10894.292058057481,2164.244402030799
2020-03-17,6.0285944087192245e7,16033.47968039693,13058.046165748297,2512.3869616242064
2020-03-18,6.028171349814652e7,17543.509850231458,15347.557544401165,2943.4344588619037
2020-03-19,6.027646422783163e7,19728.120891716168,17967.82541696325,3387.8258597001445
2020-03-20,6.027037808341683e7,22000.85608115186,21154.319150652045,4014.7413513820616
2020-03-21,6.026383516697904e7,23859.149612713732,25043.951625336642,4809.731782926917
2020-03-22,6.025827561730081e7,24391.365885225256,29403.757900390567,5477.258913588958
2020-03-23,6.025348724580523e7,24221.650447857002,33745.80936213948,6093.294384780672
2020-03-24,6.024826618929346e7,24365.612433901395,38067.154724828695,6849.043547821873
2020-03-25,6.024291811599848e7,24674.074863972084,42424.51048966977,7531.2986478940575
2020-03-26,6.023692342727834e7,25399.036234013467,46967.47764788092,8258.058839779573
2020-03-27,6.023089692411396e7,25716.690172742343,51786.866298825524,9147.51941448609
2020-03-28,6.022497896530756e7,25716.792104791224,56825.4273999001,10026.815187754542
2020-03-29,6.021992177300309e7,24892.09339601127,61893.096151636084,10841.037449277734
2020-03-30,6.02157563144646e7,23485.108155102535,66638.69261853721,11667.884761770165
2020-03-31,6.021140356043367e7,22619.411907080303,71061.32619991158,12463.701459349673
2020-04-01,6.020683248276957e7,22191.840266371873,75320.2220218104,13203.454942258973
2020-04-02,6.020217987505985e7,21903.154148953396,79523.27877459953,13941.692016606547
2020-04-03,6.01975174509453e7,21656.62685087788,83707.0106933427,14666.911510489583
2020-04-04,6.019280127836449e7,21466.279253511686,87943.61475047632,15336.82763153588
