Timestamp,S,I,R,D
2020-01-27,8.31493e7,1.0,0.0,0.0
2020-01-28,8.314929721160537e7,3.6874715106361013,0.09987362187889617,0.001049502544338463
2020-01-29,8.314929691213816e7,3.5790171952521552,0.5065820264511376,0.0022626253229594997
2020-01-30,8.314929691213816e7,3.3180813768963846,0.7663803657178582,0.003400104412009343
2020-01-31,8.31492959855379e7,4.10552452471182,0.9043996805067821,0.004537899377004303
2020-02-01,8.314929297541434e7,6.5170849123996915,1.50206022700069,0.005440530525551482
2020-02-02,8.314929098555945e7,7.258416727782625,2.7503678419750677,0.00565599113134309
2020-02-03,8.314928903624439e7,7.68946302877241,4.268627064256255,0.005665516961902173
2020-02-04,8.314928891251333e7,6.338730581861984,5.743088036551602,0.005668049611443094
2020-02-05,8.314928891251333e7,4.869750618283408,7.212042532308683,0.005693517432938401
2020-02-06,8.314928879766655e7,4.002423312250698,8.193896197849195,0.006013942185317358
2020-02-07,8.314928802697447e7,3.950700244281662,9.01600958315424,0.006315700675849945
2020-02-08,8.314928771459416e7,3.5433483934231216,9.73563258894542,0.006424853757846589
2020-02-09,8.314928710153444e7,3.5333141596316593,10.358703460011522,0.006447935930416694
2020-02-10,8.314928655541189e7,3.522063409694958,10.916072935214034,0.00645176353116664
2020-02-11,8.314928510966843e7,4.288059582024148,11.595820212030391,0.00645176353116664
2020-02-12,8.31492848145678e7,3.6687116049462025,12.510268825338823,0.00645176353116664
2020-02-13,8.314928481312029e7,2.478597758065286,13.701830189341617,0.00645176353116664
2020-02-14,8.314928481165682e7,1.7471822197130011,14.434709206415908,0.00645176353116664
2020-02-15,8.314928481165682e7,1.2717613388028397,14.910130087326069,0.00645176353116664
2020-02-16,8.314928481165682e7,0.9499372225720174,15.23195420355689,0.00645176353116664
2020-02-17,8.314928481165682e7,0.7282347403008754,15.453656685828033,0.00645176353116664
2020-02-18,8.314928481165682e7,0.5732790890206348,15.608612337108275,0.00645176353116664
2020-02-19,8.314928481165682e7,0.4638565579846561,15.718034868144253,0.00645176353116664
2020-02-20,8.314928481165682e7,0.38459619849025484,15.792668234032716,0.011078757137104865
2020-02-21,8.31492848076948e7,0.3327677233840325,15.829550752508162,0.02998673189641186
2020-02-22,8.314928474520569e7,0.38014188453008896,15.842689977771332,0.03196245312169688
2020-02-23,8.314928459481776e7,0.530273152162993,15.842909764859535,0.0319993194072188
2020-02-24,8.314928429947923e7,0.8256116788088491,15.842909764859535,0.0319993194072188
2020-02-25,8.314928317660493e7,1.948485983025993,15.842909764859535,0.0319993194072188
2020-02-26,8.314927450136724e7,10.611767223651437,15.854588717050166,0.03227681213957836
2020-02-27,8.314925684402545e7,28.238092480946214,15.882098058149138,0.035784011943921744
2020-02-28,8.314925386541802e7,31.01033086853301,16.083644154294493,0.04060695635946516
2020-02-29,8.314922398751484e7,59.693368938079026,17.269202256792237,0.04991395566582861
2020-03-01,8.314917631942426e7,104.78780957652597,19.827888509621005,0.06487764557794598
2020-03-02,8.314914767211448e7,128.3893292962479,24.855709006311546,0.0828472147404361
2020-03-03,8.31491145809512e7,160.39856793012538,25.917486531486833,0.10299433364731467
2020-03-04,8.314905038512677e7,224.51642449999363,25.97459831653782,0.12385041188584768
2020-03-05,8.314884100175421e7,423.62814798706734,36.23441251270673,0.1356852825328253
2020-03-06,8.314866179651931e7,545.6975988460244,93.37019654705045,0.1356852825328253
2020-03-07,8.314853932237354e7,606.8655600199634,154.66711174970803,0.14495467699342462
2020-03-08,8.31483084199747e7,788.8848057801972,203.37757112906144,0.3176483783531387
2020-03-09,8.314817872319302e7,873.3534286231896,247.21596690770565,1.7074114425669655
2020-03-10,8.314790267474043e7,1119.7736536092145,276.35758410014193,2.1940218558114473
2020-03-11,8.314748279221846e7,1498.60192245629,316.6238163721261,2.982042713488594
2020-03-12,8.314734012934567e7,1636.6017586465932,321.16317892106093,3.105716771281317
2020-03-13,8.314586056409627e7,3000.766466403896,431.44039503015074,8.22904230493692
2020-03-14,8.314501116702113e7,3490.55994714903,789.2057742791299,10.067257459386832
2020-03-15,8.314378373428114e7,4336.963144304405,1168.0490758617855,12.253498708897924
2020-03-16,8.314207862841974e7,5496.095862701645,1706.5582797966772,19.717437769439233
2020-03-17,8.313996159204154e7,6935.246569941399,2380.259364651657,23.902023875835592
2020-03-18,8.313665251169418e7,9398.886992723252,3221.7493923336683,27.851920767377766
2020-03-19,8.31336732444001e7,11120.100376504175,4456.176303832425,51.478919568277576
2020-03-20,8.312943146750836e7,13481.01872445856,6323.596316928362,64.91745025243682
2020-03-21,8.31270391789772e7,13633.167776518567,8544.876936487306,83.77630978518697
2020-03-22,8.312432346453615e7,14273.082157217867,10610.198321437383,94.25498519379481
2020-03-23,8.312016474299179e7,16140.86922377549,12870.555930471543,124.83185395823583
2020-03-24,8.311624698120578e7,17482.5330775566,15414.68484936465,156.80086730525557
2020-03-25,8.311185629318649e7,19128.52753836167,18109.782829909247,206.39644524742926
2020-03-26,8.310520562205955e7,22458.789593503025,21369.43356829402,267.1547786597277
2020-03-27,8.309827707781494e7,25002.559957180387,25679.05671250604,342.3055153851962
2020-03-28,8.309148761379756e7,26479.304846575236,30901.603404307385,432.4779515616906
2020-03-29,8.308716665685979e7,25334.358675304993,36246.45132005906,553.533144860517
2020-03-30,8.30823320353342e7,25048.5859695136,41264.80457388647,655.5741224062
2020-03-31,8.307741222614276e7,24919.991740528305,46188.59273191179,780.1893847991383
2020-04-01,8.307135501893714e7,25786.400318614466,51221.576904538706,938.0038397166416
