Timestamp,β,γ,δ
2020-01-27,1.785773576600434,0.0004905758283878553,0.0004595888252906934
2020-01-28,0.4872724707115998,0.10999433485937693,0.00034372428902265694
2020-01-29,0.0,0.09459577256921588,0.000323707405165557
2020-01-30,0.0,0.055102808409114516,0.0003393658767584767
2020-01-31,0.5408728334361659,0.043044335286277664,0.00027937375777285886
2020-02-01,0.41124311364151406,0.16431873874414976,7.644082220134532e-5
2020-02-02,0.2844828339451533,0.1879008742424256,6.387300615061493e-6
2020-02-03,0.09654594244690039,0.20468831599510534,1.6132205511769691e-28
2020-02-04,0.0,0.28119332025676186,2.395094775337105e-6
2020-02-05,2.5849394142282115e-26,0.24511251185000504,9.380571539364564e-6
2020-02-06,0.17677324190954974,0.20607102885825948,0.0001416593447396817
2020-02-07,0.12101808788849625,0.2027028242445206,2.851416022994978e-5
2020-02-08,0.13422817853066632,0.18214132356860163,2.5867934027581727e-5
2020-02-09,0.13466071559358833,0.17000200846232288,1.993539862078598e-6
2020-02-10,0.2941727234876641,0.15450841960795114,0.0
2020-02-11,0.29732267832169545,0.19139668907809937,0.0
2020-02-12,0.0,0.41251395729825907,0.0
2020-02-13,0.0035426781182468564,0.37213939371876353,7.418412301374843e-68
2020-02-14,9.434776426443301e-28,0.33067377677072995,2.1084395886461046e-81
2020-02-15,1.3586989910093426e-41,0.30469714066054243,0.0
2020-02-16,2.8165864988821756e-55,0.2788426752524021,0.0
2020-02-17,9.273015376718553e-67,0.25263546614768456,0.0
2020-02-18,4.437207038238997e-53,0.2258778277073596,0.0
2020-02-19,2.8469003808977276e-39,0.19742424948416917,0.0
2020-02-20,1.357093192469811e-25,0.1252088633581156,0.07187847701707781
2020-02-21,0.0725103007988569,0.07842308437285833,0.029026122807976826
2020-02-22,0.3079091787987678,0.0016815239591477119,0.0005818819817894033
2020-02-23,0.36752222083401703,2.5768614785587483e-25,0.0
2020-02-24,0.5607504157131341,4.8213635482945386e-39,0.0
2020-02-25,1.297802117538021,0.0,4.622231866529366e-33
2020-02-26,1.7963911747483445,0.006393833832745018,0.00015191794533798213
2020-02-27,0.29290572331644005,0.00047797042577790933,0.00014399753830300778
2020-02-28,0.3395456088144252,0.03484510429802666,0.0002348437927293439
2020-02-29,0.7850701197282624,0.02055835469932735,0.00020477454014352874
2020-03-01,0.32561865363735853,0.056319661399659396,0.00016111759703119348
2020-03-02,0.23096562293012907,0.025877412603563642,0.0001459400323116363
2020-03-03,0.2070836029399054,0.0003890569010951394,0.00013244221557187386
2020-03-04,0.5984945198730355,0.0002785726920551622,8.687896819715623e-5
2020-03-05,0.5324960744537888,0.08846425428750672,4.058354880338292e-24
2020-03-06,0.22822421210867566,0.12343455533989586,8.474091755303838e-33
2020-03-07,0.30644299535207703,0.0670118946863696,9.463106558780354e-5
2020-03-08,0.24181914435258278,0.06869123618156966,0.0008530524750734853
2020-03-09,0.18439550875366625,0.04181121565870413,0.002773717312195879
2020-03-10,0.4070795232799865,0.024703075732875637,8.826098102765603e-5
2020-03-11,0.05278072406074321,0.017690397926089174,8.272905351882571e-5
2020-03-12,0.5177826030519639,8.79443726507829e-5,9.27809868679304e-5
2020-03-13,0.44125847128053725,0.1053090577426489,0.0006423327174538785
2020-03-14,0.23637457617345894,0.10196227158227342,0.00027599643669664177
2020-03-15,0.4454986609586412,0.093900780125104,0.0012969686535695682
2020-03-16,0.30623357185102434,0.115904208626505,0.0009696800366631662
2020-03-17,0.5389760470338832,0.07842299919134432,0.0006842973228692517
2020-03-18,0.31971110812600834,0.11527579431769562,0.0006912675758207534
2020-03-19,0.3679248194638245,0.12429190639553882,0.0018336432300286136
2020-03-20,0.275519637643713,0.1633439119317277,0.0024918721095468833
2020-03-21,0.14128479320017734,0.1527305473075817,0.0005322207127066703
2020-03-22,0.2516512413340366,0.14141885162314233,0.0010062597436238715
2020-03-23,0.315218344054376,0.15103331200260994,0.0024402576350323695
2020-03-24,0.21417164252598148,0.15093831461022492,0.002398506961053484
2020-03-25,0.2822507346050611,0.14634355719769523,0.0028291048745777976
2020-03-26,0.31255943077252357,0.16725594592145782,0.004057510785853672
2020-03-27,0.2869487241110764,0.18741858926775862,0.0026718945537996114
2020-03-28,0.21256645173662203,0.2040049643255039,0.003239285965697785
2020-03-29,0.23536793692065924,0.195617067598566,4.884835405018331e-6
2020-03-30,0.1981345326450184,0.19748271359735442,0.004963521410837501
2020-03-31,0.21416318997795022,0.19765604176535503,0.004778389592616362
2020-04-01,0.2880039456163385,0.1937699034097632,0.00466882519288724
2020-04-02,0.23698170847612454,0.20943351535332813,0.00427610420278505
2020-04-03,0.20796883841469171,0.21839287460592222,0.007887023324371481
2020-04-04,0.164460661754609,0.21896295724523326,0.006420210156713759
2020-04-05,0.13962837252428068,0.21337840907071354,0.007605037431532665
2020-04-06,0.15030252557788265,0.20739240168470752,0.006277104675745897
2020-04-07,0.23151851874990614,0.20649683461073165,0.011573703528212766
2020-04-08,0.24233170330717474,0.2186149170974859,0.014339919842993373
2020-04-09,0.19152712564902885,0.22611773974415578,0.010136792284425707
2020-04-10,0.15616166342619217,0.22554349833814577,0.0015261592138939614
2020-04-11,0.1435776416150735,0.21863016817116437,0.00557736017881812
2020-04-12,0.14373924462279278,0.21145100823271634,0.014596716920520912
2020-04-13,0.09137643888258905,0.20892029108137924,0.005898231118816972
2020-04-14,0.15885697815370584,0.19418937872070646,0.021201672445235846
2020-04-15,0.23169594146376346,0.19628302169822165,0.028701812350874562
2020-04-16,0.22239681072346595,0.20066306276020957,0.014948940764416172
