Timestamp,S,I,R,D
2020-02-24,1.3076721e7,14.0,0.0,0.0
2020-02-25,1.307672099844318e7,11.738146241894547,2.262973852165925,0.0004367256049255893
2020-02-26,1.3076720997026099e7,10.112154467466892,3.889981504393378,0.0008379296162924167
2020-02-27,1.3076720975047057e7,8.999036873497378,5.024709100634493,0.0012069701763883112
2020-02-28,1.3076720162880016e7,9.031548886114228,5.804030048406418,0.0015410513470682057
2020-02-29,1.307671991894403e7,8.884997584363488,6.194198848722824,0.0018595398689476225
2020-03-01,1.3076716030337146e7,12.61751198849203,6.35000086701826,0.0021500012193105674
2020-03-02,1.3076710016310506e7,18.14036126405879,6.841008671479173,0.0023195620967603617
2020-03-03,1.307670012153652e7,27.0881201278925,7.78725130202366,0.003092053295855516
2020-03-04,1.30766873620683e7,38.95580909676653,8.674995398103526,0.007127208512461671
2020-03-05,1.3076682470547887e7,43.61251805660069,8.905560333514192,0.01137372512520232
2020-03-06,1.3076656118115904e7,69.92826430770327,8.937378191921242,0.016241600143526866
2020-03-07,1.3076618219117831e7,105.2813501124246,11.47613773016205,0.023394329550482
2020-03-08,1.3076586923935633e7,135.65633843139952,12.387995260797494,0.03173067814368593
2020-03-09,1.3076478960273992e7,231.92384609651106,24.07321436073265,0.04266555317552211
2020-03-10,1.3076421080657676e7,260.7154966317951,53.05071982225962,0.15312587230504754
2020-03-11,1.3076369224180246e7,288.5262120451255,76.96868953318756,0.2809181800137808
2020-03-12,1.3076234630824711e7,387.0427669838184,112.48590096732555,0.8405073412938623
2020-03-13,1.3076177255279567e7,401.8123303809831,154.95206997719,0.9803200777355761
2020-03-14,1.307605436694084e7,484.62554183663707,194.7217395786331,1.2857777487238424
2020-03-15,1.307584925985345e7,628.9528673440309,253.16816419484005,3.6191150142577584
2020-03-16,1.3075666475003976e7,727.373128390477,337.3029490894041,3.8489185448060432
2020-03-17,1.3075625552963896e7,716.4853428157619,388.88184703860037,4.079846252251321
2020-03-18,1.3075494952356296e7,825.78189590218,409.14633124360876,5.119416559887275
2020-03-19,1.3075036975489559e7,1268.6878211994506,422.0175985315262,7.3190907116785215
2020-03-20,1.3074333337391539e7,1841.7740807697155,547.2807834194131,12.607744274236335
2020-03-21,1.3073775270413572e7,2180.772824550073,759.7257438205859,19.231018060257657
2020-03-22,1.3073085344291255e7,2642.193634222893,985.9131177020064,21.548956823058564
2020-03-23,1.307184400249385e7,3500.0427183508245,1364.4070995701509,26.54768823275379
2020-03-24,1.3070982277975403e7,3820.9062682863128,1900.883257832964,30.93249848124789
2020-03-25,1.3070177226471538e7,4097.5499462328025,2422.3389013396454,37.88468089274392
2020-03-26,1.3068738009754095e7,4912.600813858745,3037.080514648538,47.3089174002511
2020-03-27,1.3067250436696041e7,5581.420455562583,3845.721635785806,57.42121261349568
2020-03-28,1.3065569359057782e7,6255.588070629814,4835.946338085673,74.10653350533009
2020-03-29,1.306386292076403e7,6732.911083026922,6034.816510964648,104.35164198054368
2020-03-30,1.3062763579624547e7,6557.038197695316,7285.593390404571,128.78878735549793
2020-03-31,1.3061910165141596e7,6265.410634531218,8396.41672190457,163.0075019720997
2020-04-01,1.3060247386909686e7,6770.421351195838,9495.503884397303,221.6878547233865
2020-04-02,1.3058232508875005e7,7403.408955520324,10827.463858521172,271.61831095531403
2020-04-03,1.3056506606424712e7,7589.358989550477,12328.909982702022,310.1246030378668
2020-04-04,1.3054776476809787e7,7708.69135076261,13903.571883526858,346.2599559267402
2020-04-05,1.3052934846503837e7,7805.911579756269,15599.154690237263,395.08722617281603
2020-04-06,1.3051737974476883e7,7276.912515154398,17279.30383046315,440.8091775034694
2020-04-07,1.3050578370322336e7,6880.600360305367,18792.22787183107,483.8014455310553
2020-04-08,1.3049196642013593e7,6715.34201185875,20256.01845126196,566.9975232889476
2020-04-09,1.304785067415833e7,6546.984515566773,21701.919078714964,635.4222473920971
2020-04-10,1.3046413963122647e7,6459.8262717260095,23165.871724449593,695.338881181058
2020-04-11,1.3045284349355806e7,6087.75521936792,24614.36207893188,748.5333458983071
2020-04-12,1.3044444209771175e7,5568.041499125179,25935.681315195754,787.0674145072467
2020-04-13,1.304374232857491e7,5067.982229291175,27098.613291262274,826.0759045400564
2020-04-14,1.304314036642603e7,4610.606011107894,28104.773525961315,879.2540369042053
2020-04-15,1.304242024977883e7,4371.535321918469,28989.9429379948,953.2719612600044
2020-04-16,1.3041569227643352e7,4296.757582980516,29829.612572591464,1039.40220107963
2020-04-17,1.3040687223788401e7,4267.955060197425,30657.364863799972,1122.4562876050445
2020-04-18,1.3039907284659304e7,4161.750480260048,31466.551437590475,1199.4134228490063
2020-04-19,1.30393634271257e7,3906.314405324915,32202.792680083567,1262.4657888947777
2020-04-20,1.3038875824786518e7,3734.0777711139067,32826.55018555575,1298.5472568160887
2020-04-21,1.3038359269976089e7,3648.487147067759,33395.998921133156,1331.24395571383
2020-04-22,1.3037931911756633e7,3459.0736760534014,33948.36435104362,1395.6502162741958
2020-04-23,1.3037523459579693e7,3284.9649512537644,34471.62028919897,1454.9551798572088
2020-04-24,1.3037135963998996e7,3118.7733579117894,34968.72180444143,1511.5408386545084
2020-04-25,1.3036768081584364e7,2960.9783656111344,35440.676091567446,1565.2639584607505
2020-04-26,1.30364188080015e7,2811.1515387741606,35888.76949439999,1616.270965328625
2020-04-27,1.3036087214045197e7,2668.8962942631297,36314.19230851834,1664.6973520246022
2020-04-28,1.3035772415248616e7,2533.83503895308,36718.07761402459,1710.6720984090957
2020-04-29,1.3035473565058524e7,2405.6062745034765,37101.51000217595,1754.3186647994312
2020-04-30,1.303518985483529e7,2283.8645973582074,37465.525575384745,1795.7549919698467
2020-05-01,1.3034920513852887e7,2168.280698745591,37811.111947218385,1835.0935011514907
2020-05-02,1.3034664809298893e7,2058.5413646783654,38139.2082423994,1872.441094032425
2020-05-03,1.3034422046274487e7,1954.3494759537036,38450.70509680542,1907.8991527576202
